testUserName,2022/04/21 21:03:06,1400,EASY
testUserName,2022/04/21 21:06:24,600,HARD
testUserName,2022/04/21 21:07:30,8600,MEDIUM
testUserName,2022/04/21 21:08:14,1300,HARD
testUserName,2022/04/21 21:19:19,0,MEDIUM
testUserName,2022/04/21 21:20:50,10700,HARD
testUserName,2022/04/21 21:22:08,4700,EASY
testUserName,2022/04/21 21:23:35,1500,EASY
testUserName,2022/04/21 22:10:45,11700,EASY
testUserName,2022/04/21 23:31:26,1300,HARD
testUserName,2022/04/21 23:37:37,500,MEDIUM
testUserName,2022/04/28 17:50:48,4300,HARD
testUserName,2022/04/28 19:54:14,7000,MEDIUM
testUserName,2022/04/28 19:59:04,8600,EASY
testUserName,2022/04/28 20:07:12,500,MEDIUM
testUserName,2022/04/28 20:14:49,500,EASY
testUserName,2022/04/28 20:25:41,9000,HARD
UserName,2022/04/28 20:34:52,1000,MEDIUM
UserName,2022/04/28 20:52:36,500,MEDIUM
User,2022/04/28 22:48:04,0,MEDIUM
User,2022/04/28 22:59:28,7700,MEDIUM
hi,2022/04/28 23:13:52,10000,HARD
User,2022/04/28 23:31:37,1400,MEDIUM
User,2022/04/28 23:32:58,0,HARD
User,2022/04/29 15:11:01,300,MEDIUM
User,2022/04/29 15:21:57,700,HARD
User,2022/04/29 15:30:31,1800,HARD
User,2022/04/29 16:56:38,1100,MEDIUM
User,2022/04/29 17:07:57,2100,HARD
User,2022/04/29 20:56:02,35100,HARD
User,2022/04/29 21:06:50,15900,HARD
User,2022/04/29 21:20:02,0,MEDIUM
User,2022/04/29 21:21:12,3500,MEDIUM
User,2022/04/29 21:22:23,0,HARD
User,2022/04/29 21:24:06,0,MEDIUM
User,2022/04/29 21:24:38,7300,EASY
User,2022/04/29 21:26:04,13200,HARD
User,2022/04/29 21:26:28,0,EASY
User,2022/04/29 21:26:48,1000,EASY
goodday,2022/04/29 21:28:27,17900,EASY
User,2022/04/29 21:44:05,1300,MEDIUM
User,2022/04/29 21:48:14,37300,EASY
yes,2022/04/29 22:30:18,15300,EASY
player,2022/04/30 08:51:30,0,EASY
Ben,2022/04/30 08:53:07,17800,EASY
Tom,2022/05/01 23:55:51,19800,HARD
LiHua,2022/05/02 16:02:28,11300,MEDIUM
User,2022/05/02 16:02:46,500,MEDIUM
User,2022/05/02 16:03:55,17100,HARD
User,2022/05/02 21:14:34,5000,EASY
Tim,2022/05/02 21:16:22,10700,MEDIUM
loser,2022/05/02 22:03:55,600,HARD
Jack,2022/05/02 22:05:25,9300,EASY
loser,2022/05/02 22:15:07,3300,MEDIUM
User,2022/05/02 22:22:39,17700,MEDIUM
User,2022/05/02 22:25:05,16700,HARD
User,2022/05/02 23:34:44,0,HARD
User,2022/05/02 23:45:09,1900,HARD
User,2022/05/02 23:45:20,200,MEDIUM
123,2022/05/02 23:50:51,4000,MEDIUM
User,2022/05/03 00:07:19,800,HARD
User,2022/05/03 00:10:01,16000,MEDIUM
User,2022/05/03 09:55:59,10400,HARD
User,2022/05/03 09:57:14,11700,MEDIUM
User,2022/05/03 11:07:53,2200,MEDIUM
User,2022/05/03 11:10:07,13000,MEDIUM
User,2022/05/03 11:15:34,5200,MEDIUM
User,2022/05/03 11:32:42,800,MEDIUM
User,2022/05/03 13:38:41,12100,MEDIUM
User,2022/05/03 13:42:16,26400,HARD
User,2022/05/03 13:43:56,17000,HARD
User,2022/05/03 14:18:05,44200,MEDIUM
User,2022/05/03 14:19:37,19500,MEDIUM
User,2022/05/03 14:20:21,2300,MEDIUM
User,2022/05/03 15:59:44,10900,HARD
User,2022/05/03 16:05:44,500,MEDIUM
User,2022/05/03 16:07:19,25700,MEDIUM
brilliant,2022/05/03 16:16:11,40900,MEDIUM
User,2022/05/03 16:20:39,25100,MEDIUM
User,2022/05/03 16:21:49,19100,EASY
User,2022/05/03 16:51:56,15500,HARD
User,2022/05/03 16:55:23,0,MEDIUM
Hi,2022/05/03 16:57:45,280000,EASY
King,2022/05/03 17:00:01,371000,MEDIUM
User,2022/05/03 18:18:00,11000,HARD
User,2022/05/03 19:32:28,14800,HARD
User,2022/05/03 22:52:10,11000,MEDIUM
User,2022/05/03 22:57:32,15200,MEDIUM
User,2022/05/03 23:00:46,46900,MEDIUM
User,2022/05/03 23:02:22,35900,EASY
User,2022/05/03 23:04:18,800,EASY
User,2022/05/03 23:04:31,300,EASY
User,2022/05/03 23:05:42,24400,EASY
User,2022/05/03 23:09:09,19000,EASY
User,2022/05/03 23:15:09,11800,EASY
User,2022/05/03 23:15:41,29300,EASY
John,2022/05/03 23:17:25,493100,EASY
User,2022/05/03 23:17:51,1800,EASY
User,2022/05/03 23:18:01,1500,EASY
User,2022/05/03 23:18:16,1100,EASY
User,2022/05/03 23:18:32,6900,EASY
User,2022/05/03 23:18:45,5700,EASY
User,2022/05/03 23:20:08,379800,EASY
User,2022/05/03 23:20:49,1200,EASY
User,2022/05/03 23:21:55,33200,EASY
User,2022/05/03 23:33:06,107300,EASY
User,2022/05/03 23:33:55,4700,MEDIUM
User,2022/05/03 23:34:02,600,HARD
User,2022/05/03 23:34:13,1500,HARD
User,2022/05/03 23:34:39,1000,HARD
User,2022/05/03 23:36:36,200,HARD
User,2022/05/03 23:38:21,55100,HARD
User,2022/05/03 23:45:07,12900,EASY
User,2022/05/03 23:59:44,38500,HARD
User,2022/05/04 00:00:13,25000,MEDIUM
User,2022/05/04 00:00:42,12800,EASY
User,2022/05/04 00:01:34,400,EASY
User,2022/05/04 00:02:19,24800,EASY
User,2022/05/04 00:06:46,31500,MEDIUM
User,2022/05/04 00:09:07,47600,HARD
User,2022/05/04 00:11:14,14100,EASY
User,2022/05/04 00:11:59,17200,HARD
User,2022/05/04 00:20:04,13000,EASY
User,2022/05/04 00:20:40,34600,MEDIUM
User,2022/05/04 00:20:52,1300,HARD
User,2022/05/04 00:21:01,300,HARD
User,2022/05/04 00:21:10,600,HARD
User,2022/05/04 00:21:19,300,HARD
User,2022/05/04 00:21:49,55400,HARD
User,2022/05/04 00:22:31,300,HARD
User,2022/05/04 00:22:40,300,HARD
User,2022/05/04 00:22:50,600,HARD
User,2022/05/04 00:23:18,500,HARD
User,2022/05/04 16:48:49,3400,HARD
User,2022/05/04 16:49:17,500,MEDIUM
User,2022/05/04 16:50:07,79600,HARD
User,2022/05/04 16:54:58,9900,HARD
User,2022/05/04 16:58:36,19400,MEDIUM
User,2022/05/04 17:04:35,300,HARD
User,2022/05/04 17:05:15,0,HARD
User,2022/05/04 17:05:32,500,HARD
User,2022/05/04 17:05:41,300,HARD
User,2022/05/04 17:05:59,0,HARD
User,2022/05/04 17:06:08,18700,HARD
User,2022/05/04 17:06:45,600,HARD
User,2022/05/04 17:07:18,47600,HARD
User,2022/05/04 17:12:08,23400,MEDIUM
User,2022/05/04 20:06:19,300,HARD
User,2022/05/04 20:11:01,28400,MEDIUM
User,2022/05/04 20:25:43,600,MEDIUM
User,2022/05/04 20:25:58,300,MEDIUM
User,2022/05/04 20:40:02,19500,MEDIUM
User,2022/05/04 20:41:18,15800,MEDIUM
User,2022/05/04 20:43:24,11700,MEDIUM
User,2022/05/04 21:11:19,20700,HARD
User,2022/05/04 21:14:24,13000,HARD
User,2022/05/04 22:09:33,50200,MEDIUM
